"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"No","1","Male",NA,0,0,42.4,"S"
"No","3","Male",44,0,0,8.05,"S"
"Yes","1","Male",35,0,0,26.55,"C"
"No","3","Male",36,1,0,15.55,"S"
"No","3","Male",30,0,0,7.8958,"S"
"Yes","1","Male",27,0,0,30.5,"S"
"Yes","2","Female",22,1,2,41.5792,"C"
"Yes","1","Female",40,0,0,153.4625,"S"
"No","3","Female",39,1,5,31.275,"S"
"No","3","Male",NA,0,0,7.05,"S"
"Yes","3","Female",NA,1,0,15.5,"Q"
"No","3","Male",NA,0,0,7.75,"Q"
"No","3","Male",35,0,0,8.05,"S"
"Yes","2","Female",24,1,2,65,"S"
"No","3","Male",34,1,1,14.4,"S"
"No","3","Female",26,1,0,16.1,"S"
"Yes","2","Female",4,2,1,39,"S"
"No","2","Male",26,0,0,10.5,"S"
"No","3","Male",27,1,0,14.4542,"C"
"Yes","1","Male",42,1,0,52.5542,"S"
"Yes","3","Male",20,1,1,15.7417,"C"
"No","3","Male",21,0,0,7.8542,"S"
"No","3","Male",21,0,0,16.1,"S"
"No","1","Male",61,0,0,32.3208,"S"
"No","2","Male",57,0,0,12.35,"Q"
"Yes","1","Female",21,0,0,77.9583,"S"
"No","3","Male",26,0,0,7.8958,"S"
"No","3","Male",NA,0,0,7.7333,"Q"
"Yes","1","Male",80,0,0,30,"S"
"No","3","Male",51,0,0,7.0542,"S"
"Yes","1","Male",32,0,0,30.5,"C"
"No","1","Male",NA,0,0,0,"S"
"No","3","Female",9,3,2,27.9,"S"
"Yes","2","Female",28,0,0,13,"S"
"No","3","Male",32,0,0,7.925,"S"
"No","2","Male",31,1,1,26.25,"S"
"No","3","Female",41,0,5,39.6875,"S"
"No","3","Male",NA,1,0,16.1,"S"
"No","3","Male",20,0,0,7.8542,"S"
"Yes","1","Female",24,0,0,69.3,"C"
"No","3","Female",2,3,2,27.9,"S"
"Yes","3","Male",NA,0,0,56.4958,"S"
"Yes","3","Female",0.75,2,1,19.2583,"C"
"Yes","1","Male",48,1,0,76.7292,"C"
"No","3","Male",19,0,0,7.8958,"S"
"Yes","1","Male",56,0,0,35.5,"C"
"No","3","Male",NA,0,0,7.55,"S"
"Yes","3","Female",23,0,0,7.55,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"Yes","2","Female",18,0,1,23,"S"
"No","3","Male",21,0,0,8.4333,"S"
"Yes","3","Female",NA,0,0,7.8292,"Q"
"No","3","Female",18,0,0,6.75,"Q"
"No","2","Male",24,2,0,73.5,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","3","Female",32,1,1,15.5,"Q"
"No","2","Male",23,0,0,13,"S"
"No","1","Male",58,0,2,113.275,"C"
"Yes","1","Male",50,2,0,133.65,"S"
"No","3","Male",40,0,0,7.225,"C"
"No","1","Male",47,0,0,25.5875,"S"
"No","3","Male",36,0,0,7.4958,"S"
"Yes","3","Male",20,1,0,7.925,"S"
"No","2","Male",32,2,0,73.5,"S"
"No","2","Male",25,0,0,13,"S"
"No","3","Male",NA,0,0,7.775,"S"
"No","3","Male",43,0,0,8.05,"S"
"Yes","1","Female",NA,1,0,52,"S"
"Yes","2","Female",40,1,1,39,"S"
"No","1","Male",31,1,0,52,"S"
"No","2","Male",70,0,0,10.5,"S"
"Yes","2","Male",31,0,0,13,"S"
"No","2","Male",NA,0,0,0,"S"
"No","3","Male",18,0,0,7.775,"S"
"No","3","Male",24.5,0,0,8.05,"S"
"Yes","3","Female",18,0,0,9.8417,"S"
"No","3","Female",43,1,6,46.9,"S"
"Yes","1","Male",36,0,1,512.3292,"C"
"No","3","Female",NA,0,0,8.1375,"Q"
"Yes","1","Male",27,0,0,76.7292,"C"
"No","3","Male",20,0,0,9.225,"S"
"No","3","Male",14,5,2,46.9,"S"
"No","2","Male",60,1,1,39,"S"
"No","2","Male",25,1,2,41.5792,"C"
"No","3","Male",14,4,1,39.6875,"S"
"No","3","Male",19,0,0,10.1708,"S"
"No","3","Male",18,0,0,7.7958,"S"
"Yes","1","Female",15,0,1,211.3375,"S"
"Yes","1","Male",31,1,0,57,"S"
"Yes","3","Female",4,0,1,13.4167,"C"
"Yes","3","Male",NA,0,0,56.4958,"S"
"No","3","Male",25,0,0,7.225,"C"
"No","1","Male",60,0,0,26.55,"S"
"No","2","Male",52,0,0,13.5,"S"
"No","3","Male",44,0,0,8.05,"S"
"Yes","3","Female",NA,0,0,7.7333,"Q"
"No","1","Male",49,1,1,110.8833,"C"
"No","3","Male",42,0,0,7.65,"S"
"Yes","1","Female",18,1,0,227.525,"C"
"Yes","1","Male",35,0,0,26.2875,"S"
"No","3","Female",18,0,1,14.4542,"C"
"No","3","Male",25,0,0,7.7417,"Q"
"No","3","Male",26,1,0,7.8542,"S"
"No","2","Male",39,0,0,26,"S"
"Yes","2","Female",45,0,0,13.5,"S"
"Yes","1","Male",42,0,0,26.2875,"S"
"Yes","1","Female",22,0,0,151.55,"S"
"Yes","3","Male",NA,1,1,15.2458,"C"
"Yes","1","Female",24,0,0,49.5042,"C"
"No","1","Male",NA,0,0,26.55,"S"
"Yes","1","Male",48,1,0,52,"S"
"No","3","Male",29,0,0,9.4833,"S"
"No","2","Male",52,0,0,13,"S"
"No","3","Male",19,0,0,7.65,"S"
"Yes","1","Female",38,0,0,227.525,"C"
"Yes","2","Female",27,0,0,10.5,"S"
"No","3","Male",NA,0,0,15.5,"Q"
"No","3","Male",33,0,0,7.775,"S"
"Yes","2","Female",6,0,1,33,"S"
"No","3","Male",17,1,0,7.0542,"S"
"No","2","Male",34,0,0,13,"S"
"No","2","Male",50,0,0,13,"S"
"Yes","1","Male",27,1,0,53.1,"S"
"No","3","Male",20,0,0,8.6625,"S"
"Yes","2","Female",30,3,0,21,"S"
"Yes","3","Female",NA,0,0,7.7375,"Q"
"No","2","Male",25,1,0,26,"S"
"No","3","Female",25,1,0,7.925,"S"
"Yes","1","Female",29,0,0,211.3375,"S"
"No","3","Male",11,0,0,18.7875,"C"
"No","2","Male",NA,0,0,0,"S"
"No","2","Male",23,0,0,13,"S"
"No","2","Male",23,0,0,13,"S"
"No","3","Male",28.5,0,0,16.1,"S"
"No","3","Female",48,1,3,34.375,"S"
"Yes","1","Male",35,0,0,512.3292,"C"
"No","3","Male",NA,0,0,7.8958,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"Yes","1","Male",NA,0,0,30,"S"
"No","1","Male",36,1,0,78.85,"S"
"Yes","1","Female",21,2,2,262.375,"C"
"No","3","Male",24,1,0,16.1,"S"
"Yes","3","Male",31,0,0,7.925,"S"
"No","1","Male",70,1,1,71,"S"
"No","3","Male",16,1,1,20.25,"S"
"Yes","2","Female",30,0,0,13,"S"
"No","1","Male",19,1,0,53.1,"S"
"No","3","Male",31,0,0,7.75,"Q"
"Yes","2","Female",4,1,1,23,"S"
"Yes","3","Male",6,0,1,12.475,"S"
"No","3","Male",33,0,0,9.5,"S"
"No","3","Male",23,0,0,7.8958,"S"
"Yes","2","Female",48,1,2,65,"S"
"Yes","2","Male",0.67,1,1,14.5,"S"
"No","3","Male",28,0,0,7.7958,"S"
"No","2","Male",18,0,0,11.5,"S"
"No","3","Male",34,0,0,8.05,"S"
"Yes","1","Female",33,0,0,86.5,"S"
"No","3","Male",NA,0,0,14.5,"S"
"No","3","Male",41,0,0,7.125,"S"
"Yes","3","Male",20,0,0,7.2292,"C"
"Yes","1","Female",36,1,2,120,"S"
"No","3","Male",16,0,0,7.775,"S"
"Yes","1","Female",51,1,0,77.9583,"S"
"No","1","Male",NA,0,0,39.6,"C"
"No","3","Female",30.5,0,0,7.75,"Q"
"No","3","Male",NA,1,0,24.15,"Q"
"No","3","Male",32,0,0,8.3625,"S"
"No","3","Male",24,0,0,9.5,"S"
"No","3","Male",48,0,0,7.8542,"S"
"No","2","Female",57,0,0,10.5,"S"
"No","3","Male",NA,0,0,7.225,"C"
"Yes","2","Female",54,1,3,23,"S"
"No","3","Male",18,0,0,7.75,"S"
"No","3","Male",NA,0,0,7.75,"Q"
"Yes","3","Female",5,0,0,12.475,"S"
"No","3","Male",NA,0,0,7.7375,"Q"
"Yes","1","Female",43,0,1,211.3375,"S"
"Yes","3","Female",13,0,0,7.2292,"C"
"Yes","1","Female",17,1,0,57,"S"
"No","1","Male",29,0,0,30,"S"
"No","3","Male",NA,1,2,23.45,"S"
"No","3","Male",25,0,0,7.05,"S"
"No","3","Male",25,0,0,7.25,"S"
"Yes","3","Female",18,0,0,7.4958,"S"
"No","3","Male",8,4,1,29.125,"Q"
"Yes","3","Male",1,1,2,20.575,"S"
"No","1","Male",46,0,0,79.2,"C"
"No","3","Male",NA,0,0,7.75,"Q"
"No","2","Male",16,0,0,26,"S"
"No","3","Female",NA,8,2,69.55,"S"
"No","1","Male",NA,0,0,30.6958,"C"
"No","3","Male",25,0,0,7.8958,"S"
"No","2","Male",39,0,0,13,"S"
"Yes","1","Female",49,0,0,25.9292,"S"
"Yes","3","Female",31,0,0,8.6833,"S"
"No","3","Male",30,0,0,7.2292,"C"
"No","3","Female",30,1,1,24.15,"S"
"No","2","Male",34,0,0,13,"S"
"Yes","2","Female",31,1,1,26.25,"S"
"Yes","1","Male",11,1,2,120,"S"
"Yes","3","Male",0.42,0,1,8.5167,"C"
"Yes","3","Male",27,0,0,6.975,"S"
"No","3","Male",31,0,0,7.775,"S"
"No","1","Male",39,0,0,0,"S"
"No","3","Female",18,0,0,7.775,"S"
"No","2","Male",39,0,0,13,"S"
"Yes","1","Female",33,1,0,53.1,"S"
"No","3","Male",26,0,0,7.8875,"S"
"No","3","Male",39,0,0,24.15,"S"
"No","2","Male",35,0,0,10.5,"S"
"No","3","Female",6,4,2,31.275,"S"
"No","3","Male",30.5,0,0,8.05,"S"
"No","1","Male",NA,0,0,0,"S"
"No","3","Female",23,0,0,7.925,"S"
"No","2","Male",31,1,1,37.0042,"C"
"No","3","Male",43,0,0,6.45,"S"
"No","3","Male",10,3,2,27.9,"S"
"Yes","1","Female",52,1,1,93.5,"S"
"Yes","3","Male",27,0,0,8.6625,"S"
"No","1","Male",38,0,0,0,"S"
"Yes","3","Female",27,0,1,12.475,"S"
"No","3","Male",2,4,1,39.6875,"S"
"No","3","Male",NA,0,0,6.95,"Q"
"No","3","Male",NA,0,0,56.4958,"S"
"Yes","2","Male",1,0,2,37.0042,"C"
"Yes","3","Male",NA,0,0,7.75,"Q"
"Yes","1","Female",62,0,0,80,""
"Yes","3","Female",15,1,0,14.4542,"C"
"Yes","2","Male",0.83,1,1,18.75,"S"
"No","3","Male",NA,0,0,7.2292,"C"
"No","3","Male",23,0,0,7.8542,"S"
"No","3","Male",18,0,0,8.3,"S"
"Yes","1","Female",39,1,1,83.1583,"C"
"No","3","Male",21,0,0,8.6625,"S"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","3","Male",32,0,0,56.4958,"S"
"Yes","1","Male",NA,0,0,29.7,"C"
"No","3","Male",20,0,0,7.925,"S"
"No","2","Male",16,0,0,10.5,"S"
"Yes","1","Female",30,0,0,31,"C"
"No","3","Male",34.5,0,0,6.4375,"C"
"No","3","Male",17,0,0,8.6625,"S"
"No","3","Male",42,0,0,7.55,"S"
"No","3","Male",NA,8,2,69.55,"S"
"No","3","Male",35,0,0,7.8958,"C"
"No","2","Male",28,0,1,33,"S"
"Yes","1","Female",NA,1,0,89.1042,"C"
"No","3","Male",4,4,2,31.275,"S"
"No","3","Male",74,0,0,7.775,"S"
"No","3","Female",9,1,1,15.2458,"C"
"Yes","1","Female",16,0,1,39.4,"S"
"No","2","Female",44,1,0,26,"S"
"Yes","3","Female",18,0,1,9.35,"S"
"Yes","1","Female",45,1,1,164.8667,"S"
"Yes","1","Male",51,0,0,26.55,"S"
"Yes","3","Female",24,0,3,19.2583,"C"
"No","3","Male",NA,0,0,7.2292,"C"
"No","3","Male",41,2,0,14.1083,"S"
"No","2","Male",21,1,0,11.5,"S"
"Yes","1","Female",48,0,0,25.9292,"S"
"No","3","Female",NA,8,2,69.55,"S"
"No","2","Male",24,0,0,13,"S"
"Yes","2","Female",42,0,0,13,"S"
"Yes","2","Female",27,1,0,13.8583,"C"
"No","1","Male",31,0,0,50.4958,"S"
"No","3","Male",NA,0,0,9.5,"S"
"Yes","3","Male",4,1,1,11.1333,"S"
"No","3","Male",26,0,0,7.8958,"S"
"Yes","1","Female",47,1,1,52.5542,"S"
"No","1","Male",33,0,0,5,"S"
"No","3","Male",47,0,0,9,"S"
"Yes","2","Female",28,1,0,24,"C"
"Yes","3","Female",15,0,0,7.225,"C"
"No","3","Male",20,0,0,9.8458,"S"
"No","3","Male",19,0,0,7.8958,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"Yes","1","Female",56,0,1,83.1583,"C"
"Yes","2","Female",25,0,1,26,"S"
"No","3","Male",33,0,0,7.8958,"S"
"No","3","Female",22,0,0,10.5167,"S"
"No","2","Male",28,0,0,10.5,"S"
"No","3","Male",25,0,0,7.05,"S"
"No","3","Female",39,0,5,29.125,"Q"
"No","2","Male",27,0,0,13,"S"
"Yes","1","Female",19,0,0,30,"S"
"No","3","Female",NA,1,2,23.45,"S"
"Yes","1","Male",26,0,0,30,"C"
"No","3","Male",32,0,0,7.75,"Q"
